x_red,y_red,x_blue,y_blue,overlap
9,3,10,12,FALSE
2,1,7,8,FALSE
37,21,39,29,TRUE
43,17,30,28,FALSE
49,13,28,22,FALSE
56,12,34,20,FALSE
63,12,41,18,FALSE
36,20,31,31,FALSE
41,14,33,25,FALSE
47,10,36,20,FALSE
51,5,41,16,FALSE
62,2,44,9,FALSE
22,26,18,30,TRUE
20,18,14,35,FALSE
18,11,9,33,FALSE
16,4,10,26,FALSE
19,1,15,21,FALSE
37,21,37,29,FALSE
40,14,38,32,FALSE
39,7,45,31,FALSE
38,1,41,24,FALSE
37,1,36,16,FALSE
33,21,32,23,TRUE
38,15,26,22,FALSE
41,9,29,28,FALSE
44,2,35,24,FALSE
49,1,36,18,FALSE
13,17,18,18,TRUE
14,19,16,23,TRUE
6,13,17,29,FALSE
2,8,10,32,FALSE
2,7,6,27,FALSE
43,44,31,39,FALSE
52,44,31,44,FALSE
56,39,37,46,FALSE
18,31,19,28,TRUE
11,21,16,23,TRUE
14,23,14,17,TRUE
11,16,13,12,TRUE
12,8,16,12,TRUE
18,7,8,6,FALSE
25,4,4,10,FALSE
31,2,4,14,FALSE
43,1,12,14,FALSE
44,1,19,12,FALSE
35,21,40,27,TRUE
37,15,41,33,FALSE
37,8,46,31,FALSE
36,2,44,23,FALSE
39,1,39,19,FALSE
28,36,20,34,TRUE
33,31,18,41,FALSE
38,26,17,47,FALSE
40,20,23,48,FALSE
45,14,26,43,FALSE
47,8,30,36,FALSE
52,5,34,30,FALSE
57,4,38,27,FALSE
31,15,19,26,FALSE
33,8,25,21,FALSE
34,2,32,21,FALSE
40,1,36,15,FALSE
38,22,31,24,FALSE
40,15,30,26,FALSE
42,7,35,31,FALSE
39,3,38,25,FALSE
42,1,38,17,FALSE
32,16,32,23,FALSE
36,10,27,18,FALSE
41,6,29,12,FALSE
46,3,34,7,FALSE
32,16,35,25,TRUE
37,12,36,29,FALSE
44,7,43,26,FALSE
49,5,42,21,FALSE
58,3,42,15,FALSE
25,19,25,36,FALSE
21,13,25,29,FALSE
18,6,26,21,FALSE
13,4,27,17,FALSE
8,1,23,14,FALSE
29,37,40,39,FALSE
31,31,42,32,FALSE
33,30,37,27,TRUE
31,33,30,27,TRUE
31,31,27,24,TRUE
38,31,27,28,FALSE
45,26,24,23,FALSE
53,27,23,17,FALSE
59,26,28,16,FALSE
36,46,38,41,TRUE
38,42,43,44,TRUE
44,39,45,49,FALSE
51,37,48,48,FALSE
58,35,54,49,FALSE
64,31,59,44,FALSE
44,31,33,36,FALSE
51,30,40,33,FALSE
57,30,46,32,FALSE
21,33,19,29,TRUE
18,25,14,32,FALSE
18,25,10,35,FALSE
14,19,15,41,FALSE
12,12,18,36,FALSE
9,9,18,29,FALSE
6,3,16,25,FALSE
35,27,39,24,TRUE
35,29,41,24,FALSE
33,29,42,25,FALSE
33,27,38,25,TRUE
32,31,34,29,TRUE
31,24,27,31,FALSE
35,17,26,26,FALSE
37,12,34,25,FALSE
39,2,39,23,FALSE
40,1,39,16,FALSE
29,17,42,34,FALSE
30,9,39,28,FALSE
31,4,34,23,FALSE
17,13,18,24,FALSE
17,7,12,21,FALSE
16,2,9,15,FALSE
37,21,26,29,FALSE
41,16,27,24,FALSE
45,10,33,18,FALSE
50,5,36,12,FALSE
24,14,23,31,FALSE
30,12,23,26,FALSE
34,6,23,18,FALSE
41,3,26,13,FALSE
41,1,28,6,FALSE
64,1,34,4,FALSE
13,18,21,20,TRUE
17,19,20,11,FALSE
12,11,22,9,FALSE
11,5,29,10,FALSE
2,1,26,16,FALSE
33,18,26,29,FALSE
35,12,24,22,FALSE
35,5,26,17,FALSE
42,28,37,28,TRUE
50,28,36,34,FALSE
55,22,44,32,FALSE
59,16,46,25,FALSE
63,6,52,19,FALSE
63,3,52,14,FALSE
45,34,26,40,FALSE
52,31,22,44,FALSE
58,27,27,49,FALSE
7,17,19,22,FALSE
3,11,14,16,FALSE
30,17,34,28,TRUE
33,10,31,30,FALSE
36,4,25,34,FALSE
42,2,21,28,FALSE
22,18,21,26,TRUE
22,17,16,21,TRUE
21,12,18,16,TRUE
27,12,23,17,TRUE
23,9,29,20,TRUE
24,2,31,13,TRUE
27,34,34,28,FALSE
29,31,33,28,TRUE
30,20,39,30,TRUE
32,14,31,24,FALSE
33,10,32,19,FALSE
34,2,32,9,FALSE
42,29,31,36,FALSE
49,26,37,31,FALSE
55,23,41,25,FALSE
63,21,48,26,FALSE
40,25,32,25,FALSE
47,23,31,30,FALSE
53,21,35,34,FALSE
61,23,40,28,FALSE
44,31,34,37,FALSE
51,29,42,35,FALSE
57,27,48,35,FALSE
63,28,55,33,FALSE
23,27,25,19,FALSE
22,21,24,16,TRUE
25,14,27,13,TRUE
31,13,21,10,TRUE
39,10,24,4,FALSE
44,9,32,4,FALSE
51,6,37,8,FALSE
64,1,43,7,FALSE
21,30,18,22,TRUE
25,24,20,24,TRUE
25,19,19,23,TRUE
29,11,15,26,FALSE
30,6,19,31,FALSE
46,48,34,40,FALSE
53,52,40,44,FALSE
59,56,46,47,FALSE
64,61,52,47,FALSE
25,31,21,34,TRUE
25,25,14,31,FALSE
28,19,15,26,FALSE
31,13,18,20,FALSE
36,9,20,14,FALSE
41,3,25,8,FALSE
44,1,29,2,FALSE
39,26,43,32,TRUE
47,25,36,35,FALSE
54,25,34,31,FALSE
61,24,39,28,FALSE
25,33,35,29,FALSE
29,27,31,32,TRUE
31,21,27,35,FALSE
29,14,23,30,FALSE
29,7,23,25,FALSE
33,2,26,18,FALSE
38,21,29,23,FALSE
43,16,27,27,FALSE
47,12,32,30,FALSE
55,8,38,27,FALSE
63,2,44,25,FALSE
40,26,33,26,FALSE
47,24,30,29,FALSE
53,20,35,32,FALSE
59,16,40,27,FALSE
64,1,45,22,FALSE
32,41,44,38,FALSE
33,34,39,45,TRUE
40,34,33,40,FALSE
43,27,27,37,FALSE
44,21,25,31,FALSE
43,14,31,27,FALSE
41,7,34,21,FALSE
43,1,40,18,FALSE
35,19,36,28,FALSE
40,14,28,25,FALSE
44,8,28,19,FALSE
50,6,31,11,FALSE
64,1,36,8,FALSE
64,1,43,7,FALSE
36,45,36,39,TRUE
39,46,34,43,TRUE
43,53,32,50,TRUE
43,54,27,54,FALSE
46,57,29,59,FALSE
49,62,35,63,FALSE
45,31,35,34,FALSE
50,27,43,33,FALSE
56,25,48,30,FALSE
23,15,21,33,FALSE
27,10,19,26,FALSE
27,3,20,20,FALSE
25,32,39,32,FALSE
22,22,30,30,TRUE
21,22,26,24,TRUE
23,25,23,21,TRUE
19,15,17,22,FALSE
20,17,9,22,FALSE
19,11,6,26,FALSE
24,6,11,31,FALSE
31,4,17,28,FALSE
35,1,19,22,FALSE
38,23,29,23,TRUE
46,20,26,24,FALSE
52,19,29,29,FALSE
58,15,35,27,FALSE
34,17,33,27,TRUE
39,13,30,20,FALSE
40,4,27,14,FALSE
43,1,30,8,FALSE
38,25,36,23,TRUE
43,21,28,21,FALSE
49,16,30,23,FALSE
55,13,24,19,FALSE
1,1,27,13,FALSE
46,34,22,36,FALSE
53,33,26,41,FALSE
59,32,33,40,FALSE
35,29,33,18,TRUE
41,17,32,30,FALSE
45,12,37,34,FALSE
52,8,40,27,FALSE
64,1,41,20,FALSE
64,1,45,17,FALSE
46,38,35,38,FALSE
53,41,42,38,FALSE
59,41,48,38,FALSE
39,22,27,31,FALSE
44,18,32,27,FALSE
48,13,38,26,FALSE
53,6,44,21,FALSE
64,1,49,17,FALSE
27,28,27,24,TRUE
24,19,30,22,TRUE
29,15,34,25,TRUE
30,7,33,20,FALSE
35,2,31,13,FALSE
29,20,33,25,TRUE
30,19,26,23,TRUE
30,16,22,17,TRUE
31,9,33,16,TRUE
35,11,33,22,FALSE
30,4,28,24,FALSE
35,1,25,19,FALSE
31,38,27,42,TRUE
35,34,22,40,FALSE
40,30,23,34,FALSE
48,29,29,32,FALSE
54,28,35,29,FALSE
60,29,40,27,FALSE
30,16,22,33,FALSE
35,13,24,40,FALSE
38,6,29,37,FALSE
